Adsorbate 1,Adsorbate 2,Gco DFT,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Averaged Gco
Cl,O,0.22257,0.22257,0.22257,0.22257,0.22257,0.22257,0.22257
Cl,OH,,0.299693853,0.306596011,0.298316628,0.298817039,0.282842875,0.297253281
Cl,N,,0.11529319,0.11567653,0.115997784,0.151235491,0.169893771,0.133619353
Cl,NH,,0.231864855,0.236901417,0.253086179,0.221177965,0.239101008,0.236426285
Cl,NH2,,0.288326889,0.354699999,0.322298706,0.323358655,0.299469084,0.317630666
Cl,NH3,,0.240248621,0.231565416,0.183852896,0.246171489,0.227600902,0.225887865
Cl,C,,0.192222461,0.185480878,0.229310155,0.21212405,0.179022267,0.199631962
Cl,CH,0.10368,0.10368,0.10368,0.10368,0.10368,0.10368,0.10368
Cl,CH2,,0.24899815,0.230484545,0.258384734,0.203995198,0.219671682,0.232306862
Cl,CH3,,0.239707634,0.229861349,0.231427968,0.260024309,0.245540932,0.241312438
Cl,S,,0.226248205,0.201747581,0.210428268,0.211443886,0.112671286,0.192507845
Cl,SH,,0.328453451,0.374554396,0.315423727,0.290824473,0.28102985,0.318057179
Cl,SH2,,0.332612067,0.374505937,0.269077301,0.294417351,0.262890726,0.306700677
Cl,F,,0.280767471,0.302153766,0.278149456,0.295232207,0.241691351,0.27959885
Cl,Cl,,0.294113934,0.269909978,0.289777994,0.345933676,0.250158072,0.289978731
Cl,Br,0.31091,0.31091,0.31091,0.31091,0.31091,0.31091,0.31091
Cl,I,,0.360744983,0.37858355,0.33833766,0.328747928,0.314207554,0.344124335
Br,O,,0.231032029,0.213385597,0.229899272,0.211668134,0.231960371,0.223589081
Br,OH,,0.296185225,0.335226178,0.313208431,0.287095904,0.256687671,0.297680682
Br,N,,0.183175549,0.181383774,0.168134198,0.215667218,0.249155506,0.199503249
Br,NH,,0.222987384,0.210276157,0.253502518,0.209456846,0.207550019,0.220754585
Br,NH2,,0.24206011,0.251733929,0.233422607,0.25106436,0.236792907,0.243014783
Br,NH3,,0.240770981,0.250780523,0.211850569,0.214761734,0.217353821,0.227103525
Br,C,,0.226021647,0.231881589,0.230461001,0.234640613,0.229426041,0.230486178
Br,CH,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083
Br,CH2,0.16344,0.16344,0.16344,0.16344,0.16344,0.16344,0.16344
Br,CH3,,0.246478349,0.252293378,0.233598486,0.241448253,0.227489308,0.240261555
Br,S,,0.141719669,0.175660565,0.210921988,0.201046407,0.12123663,0.170117052
Br,SH,0.27333,0.27333,0.27333,0.27333,0.27333,0.27333,0.27333
Br,SH2,,0.244649306,0.228001177,0.160431132,0.2466387,0.207452416,0.217434546
Br,F,,0.306895286,0.299437523,0.277791083,0.332443506,0.298130512,0.302939582
Br,Cl,0.31091,0.31091,0.31091,0.31091,0.31091,0.31091,0.31091
Br,Br,,0.335600317,0.337838829,0.314132422,0.361205578,0.27994585,0.325744599
Br,I,,0.241887748,0.253575146,0.275614858,0.256338984,0.283966243,0.262276596
I,O,,0.237225264,0.209387138,0.231893912,0.229888603,0.221238077,0.225926599
I,OH,,0.35186106,0.38265714,0.325903028,0.331795514,0.310561717,0.340555692
I,N,,0.176695272,0.158739612,0.185507864,0.207827762,0.2725254,0.200259182
I,NH,,0.205631122,0.197292224,0.25554505,0.221432507,0.227380618,0.221456304
I,NH2,,0.261655658,0.252188563,0.276747197,0.255295277,0.259444773,0.261066294
I,NH3,,0.24248977,0.237595737,0.196118176,0.194877312,0.20276624,0.214769447
I,C,,0.247958824,0.227899745,0.256246507,0.265318722,0.269033253,0.25329141
